new_skill,occurrence_rows,source_files
AI for Code,3,job_bigcompany_final.csv; job_update_event_stream.csv; job_skill_monthly_frequency.csv
AI for Coding,3,job_bigcompany_final.csv; job_update_event_stream.csv; job_skill_monthly_frequency.csv
AI for DB,6,job_bigcompany_final.csv; job_update_event_stream.csv; job_skill_monthly_frequency.csv
AI for Engineering,6,job_bigcompany_final.csv; job_update_event_stream.csv; job_skill_monthly_frequency.csv
AI for Infra,6,job_bigcompany_final.csv; job_update_event_stream.csv; job_skill_monthly_frequency.csv
AI for Materials,3,job_bigcompany_final.csv; job_update_event_stream.csv; job_skill_monthly_frequency.csv
AI for Network,3,job_bigcompany_final.csv; job_update_event_stream.csv; job_skill_monthly_frequency.csv
AI for Optimization,3,job_bigcompany_final.csv; job_update_event_stream.csv; job_skill_monthly_frequency.csv
AI for PHY,3,job_bigcompany_final.csv; job_update_event_stream.csv; job_skill_monthly_frequency.csv
AI for Research,3,job_bigcompany_final.csv; job_update_event_stream.csv; job_skill_monthly_frequency.csv
AI for Science,15,job_bigcompany_final.csv; job_update_event_stream.csv; job_skill_monthly_frequency.csv
AI for SE,3,job_bigcompany_final.csv; job_update_event_stream.csv; job_skill_monthly_frequency.csv
AI for Security,6,job_bigcompany_final.csv; job_update_event_stream.csv; job_skill_monthly_frequency.csv
AI for数仓,3,job_bigcompany_final.csv; job_update_event_stream.csv; job_skill_monthly_frequency.csv
AI Friendly架构,9,job_bigcompany_final.csv; job_update_event_stream.csv; job_skill_monthly_frequency.csv
AI Function,3,job_bigcompany_final.csv; job_update_event_stream.csv; job_skill_monthly_frequency.csv
AI Gateway,3,job_bigcompany_final.csv; job_update_event_stream.csv; job_skill_monthly_frequency.csv
AI Guardrails,3,job_bigcompany_final.csv; job_update_event_stream.csv; job_skill_monthly_frequency.csv
AI Harness,6,job_bigcompany_final.csv; job_update_event_stream.csv; job_skill_monthly_frequency.csv
AI Harness Engineering,3,job_bigcompany_final.csv; job_update_event_stream.csv; job_skill_monthly_frequency.csv
AI Harness平台,6,job_bigcompany_final.csv; job_update_event_stream.csv; job_skill_monthly_frequency.csv
AI IDE,24,job_bigcompany_final.csv; job_update_event_stream.csv; job_skill_monthly_frequency.csv
AI Infra,217,job_bigcompany_final.csv; job_update_event_stream.csv; job_skill_monthly_frequency.csv
AI Infrastructure,70,job_bigcompany_final.csv; job_update_event_stream.csv; job_skill_monthly_frequency.csv
AI Infra漏洞,3,job_bigcompany_final.csv; job_update_event_stream.csv; job_skill_monthly_frequency.csv
AI Infra运维,3,job_bigcompany_final.csv; job_update_event_stream.csv; job_skill_monthly_frequency.csv
AI Infra集群管理,3,job_bigcompany_final.csv; job_update_event_stream.csv; job_skill_monthly_frequency.csv
AI IP验证,3,job_bigcompany_final.csv; job_update_event_stream.csv; job_skill_monthly_frequency.csv
AI ISP,6,job_bigcompany_final.csv; job_update_event_stream.csv; job_skill_monthly_frequency.csv
AI Memory,3,job_bigcompany_final.csv; job_update_event_stream.csv; job_skill_monthly_frequency.csv
AI Native,93,job_bigcompany_final.csv; job_update_event_stream.csv; job_skill_monthly_frequency.csv
AI Native Workflow,3,job_bigcompany_final.csv; job_update_event_stream.csv; job_skill_monthly_frequency.csv
AI Native产品,6,job_bigcompany_final.csv; job_update_event_stream.csv; job_skill_monthly_frequency.csv
AI Native工程,3,job_bigcompany_final.csv; job_update_event_stream.csv; job_skill_monthly_frequency.csv
AI Native应用,12,job_bigcompany_final.csv; job_update_event_stream.csv; job_skill_monthly_frequency.csv
AI Native应用开发,3,job_bigcompany_final.csv; job_update_event_stream.csv; job_skill_monthly_frequency.csv
AI Native数据基础设施,3,job_bigcompany_final.csv; job_update_event_stream.csv; job_skill_monthly_frequency.csv
AI Native数据平台,3,job_bigcompany_final.csv; job_update_event_stream.csv; job_skill_monthly_frequency.csv
AI Native研发,9,job_bigcompany_final.csv; job_update_event_stream.csv; job_skill_monthly_frequency.csv
AI Native研发工作流,3,job_bigcompany_final.csv; job_update_event_stream.csv; job_skill_monthly_frequency.csv
AI Ops,9,job_bigcompany_final.csv; job_update_event_stream.csv; job_skill_monthly_frequency.csv
AI Ranking,3,job_bigcompany_final.csv; job_update_event_stream.csv; job_skill_monthly_frequency.csv
AI Ready数据,3,job_bigcompany_final.csv; job_update_event_stream.csv; job_skill_monthly_frequency.csv
AI Red Teaming,3,job_bigcompany_final.csv; job_update_event_stream.csv; job_skill_monthly_frequency.csv
AI Risk Analyse,3,job_bigcompany_final.csv; job_update_event_stream.csv; job_skill_monthly_frequency.csv
AI Runtime,3,job_bigcompany_final.csv; job_update_event_stream.csv; job_skill_monthly_frequency.csv
AI SaaS,3,job_bigcompany_final.csv; job_update_event_stream.csv; job_skill_monthly_frequency.csv
AI SaaS平台,3,job_bigcompany_final.csv; job_update_event_stream.csv; job_skill_monthly_frequency.csv
AI Safety,9,job_bigcompany_final.csv; job_update_event_stream.csv; job_skill_monthly_frequency.csv
AI Scientist,15,job_bigcompany_final.csv; job_update_event_stream.csv; job_skill_monthly_frequency.csv
AI Search,3,job_bigcompany_final.csv; job_update_event_stream.csv; job_skill_monthly_frequency.csv
AI Security,3,job_bigcompany_final.csv; job_update_event_stream.csv; job_skill_monthly_frequency.csv
AI Serving,3,job_bigcompany_final.csv; job_update_event_stream.csv; job_skill_monthly_frequency.csv
AI Skill,6,job_bigcompany_final.csv; job_update_event_stream.csv; job_skill_monthly_frequency.csv
AI SoC,24,job_bigcompany_final.csv; job_update_event_stream.csv; job_skill_monthly_frequency.csv
AI SoC架构,3,job_bigcompany_final.csv; job_update_event_stream.csv; job_skill_monthly_frequency.csv
AI SQL生成,3,job_bigcompany_final.csv; job_update_event_stream.csv; job_skill_monthly_frequency.csv
AI Stack,3,job_bigcompany_final.csv; job_update_event_stream.csv; job_skill_monthly_frequency.csv
AI Studio,3,job_bigcompany_final.csv; job_update_event_stream.csv; job_skill_monthly_frequency.csv
AI Test,6,job_bigcompany_final.csv; job_update_event_stream.csv; job_skill_monthly_frequency.csv
AI Testing,6,job_bigcompany_final.csv; job_update_event_stream.csv; job_skill_monthly_frequency.csv
AI Tuning,3,job_bigcompany_final.csv; job_update_event_stream.csv; job_skill_monthly_frequency.csv
AI Tutor,3,job_bigcompany_final.csv; job_update_event_stream.csv; job_skill_monthly_frequency.csv
AI Vibe Coding,9,job_bigcompany_final.csv; job_update_event_stream.csv; job_skill_monthly_frequency.csv
AI Workflow,15,job_bigcompany_final.csv; job_update_event_stream.csv; job_skill_monthly_frequency.csv
AI Workload,9,job_bigcompany_final.csv; job_update_event_stream.csv; job_skill_monthly_frequency.csv
AI Workloads,3,job_bigcompany_final.csv; job_update_event_stream.csv; job_skill_monthly_frequency.csv
AI+SE,6,job_bigcompany_final.csv; job_update_event_stream.csv; job_skill_monthly_frequency.csv
AI-Coding,3,job_bigcompany_final.csv; job_update_event_stream.csv; job_skill_monthly_frequency.csv
AI-driven IDE,3,job_bigcompany_final.csv; job_update_event_stream.csv; job_skill_monthly_frequency.csv
AI-Friendly Schema,3,job_bigcompany_final.csv; job_update_event_stream.csv; job_skill_monthly_frequency.csv
AI-ISP,6,job_bigcompany_final.csv; job_update_event_stream.csv; job_skill_monthly_frequency.csv
AI-Native应用开发,3,job_bigcompany_final.csv; job_update_event_stream.csv; job_skill_monthly_frequency.csv
AI/ML,3,job_bigcompany_final.csv; job_update_event_stream.csv; job_skill_monthly_frequency.csv
AI/ML Infra,3,job_bigcompany_final.csv; job_update_event_stream.csv; job_skill_monthly_frequency.csv
AI/ML工程,3,job_bigcompany_final.csv; job_update_event_stream.csv; job_skill_monthly_frequency.csv
AI/ML模型评估,6,job_bigcompany_final.csv; job_update_event_stream.csv; job_skill_monthly_frequency.csv
AI/ML系统,3,job_bigcompany_final.csv; job_update_event_stream.csv; job_skill_monthly_frequency.csv
