normalized_keyword,category,keyword_type,doc_count,mention_count,source_type_counts,example_job_ids,example_job_titles,example_evidence
本科：运动训练（040202）；研究生：运动训练（045202）,岗位标签,title_or_tag,6,6,government:6,job_540724ddf09ae2b44ea3;job_0d5ccc12029493d2adea;job_523331c9609024c2152c,延边边境管理支队一级警长及以下（十三） | 延边边境管理支队一级警长及以下（十四） | 白山边境管理支队一级警长及以下（十一）,本科：运动训练（040202）；研究生：运动训练（045202） | 本科：运动训练（040202）；研究生：运动训练（045202） | 本科：运动训练（040202）；研究生：运动训练（045202）
机关党委一级主任科员及以下,岗位标签,title_or_tag,6,6,government:6,job_b6086b2432f135a033f0;job_0c4383efeaf0a5a8abd9;job_cdc83ad42ae9eda99bdc,机关党委一级主任科员及以下 | 机关党委一级主任科员及以下 | 机关党委一级主任科员及以下,机关党委一级主任科员及以下 | 机关党委一级主任科员及以下 | 机关党委一级主任科员及以下
法制四级主办及以下,岗位标签,title_or_tag,6,6,government:6,job_ba7068427f2cd930ae1e;job_b2472938dcc20829353c;job_9280b2e6608104c00a8f,法制四级主办及以下 | 法制四级主办及以下 | 法制四级主办及以下,法制四级主办及以下 | 法制四级主办及以下 | 法制四级主办及以下
法学、法律、侦查学,岗位标签,title_or_tag,6,6,government:6,job_8b4f2e65f2741a315cff;job_d1fed32a0fa8dc617011;job_729a9f57300025411086,综合业务四级主办及以下（一） | 综合业务四级主办及以下（二） | 综合业务四级主办及以下（一）,法学、法律、侦查学 | 法学、法律、侦查学 | 法学、法律、侦查学
法学、知识产权、法律、民商法学、经济法学、诉讼法学、宪法学与行政法学、国际法学,岗位标签,title_or_tag,6,6,government:6,job_da7647dc805bc230db5e;job_008cfdef999e6c295e72;job_aff0095e0c3239114166,法律四级主办及以下（一） | 法律四级主办及以下（二） | 法律四级主办及以下（一）,法学、知识产权、法律、民商法学、经济法学、诉讼法学、宪法学与行政法学、国际法学 | 法学、知识产权、法律、民商法学、经济法学、诉讼法学、宪法学与行政法学、国际法学 | 法学、知识产权、法律、民商法学、经济法学、诉讼法学、宪法学与行政法学、国际法学
法学类、政治学类、社会学类、马克思主义理论类,岗位标签,title_or_tag,6,6,government:6,job_39011010987bb5e4e739;job_426b4c32e3152975202f;job_8d744ce3dcad7dcc4bd4,一级行政执法员（二） | 一级行政执法员（三） | 一级行政执法员（六）,法学类、政治学类、社会学类、马克思主义理论类 | 法学类、政治学类、社会学类、马克思主义理论类 | 法学类、政治学类、社会学类、马克思主义理论类
法学（030101K）,岗位标签,title_or_tag,6,6,government:6,job_2d1584748b6ee3ca01b2;job_e6b2160ca21eb2fc5725;job_26ef33ac4e828f30ccf5,法规部门一级主任科员及以下 | 法规部门一级主任科员及以下 | 法规部门一级主任科员及以下,法学（030101K） | 法学（030101K） | 法学（030101K）
法律管理四级主办及以下,岗位标签,title_or_tag,6,6,government:6,job_3b8e1bb815e61cc80dc3;job_66ad4325fa19c271ec34;job_b60bb48941e1e5f891b3,法律管理四级主办及以下 | 法律管理四级主办及以下 | 法律管理四级主办及以下,法律管理四级主办及以下 | 法律管理四级主办及以下 | 法律管理四级主办及以下
法语,岗位标签,title_or_tag,6,6,government:6,job_c6cb6b3137e89bf993b6;job_93f05ed5d1bad4c6c459;job_ae7d1d97a69f7fe48560,法语翻译 | 法语 | 一级警长及以下（一）,法语 | 法语 | 法语
海关业务一级行政执法员,岗位标签,title_or_tag,6,6,government:6,job_39d34be5e21d98dcfe57;job_169e5f2c6c2ae225d091;job_29d861bb064e8ebc7f8d,海关业务一级行政执法员 | 海关业务一级行政执法员 | 海关业务一级行政执法员,海关业务一级行政执法员 | 海关业务一级行政执法员 | 海关业务一级行政执法员
