month,standard_job,skill,kg_display_skill,monthly_jd_count,monthly_skill_count,monthly_skill_frequency,cumulative_jd_count,cumulative_skill_count,cumulative_skill_frequency,snapshot_skill_status,is_core_skill,rank_in_month,updated_at
2025-10,政府信息化建设与管理岗,信息管理与信息系统,政务信息化,73,0,0.0,215,4,0.018605,当月未出现,0,,2026-08-06T03:30:35+00:00
2025-10,政府信息化建设与管理岗,信息系统,政务信息化,73,3,0.041096,215,11,0.051163,当月活跃技能,0,10,2026-08-06T03:30:35+00:00
2025-10,政府信息化建设与管理岗,大数据管理与应用,政务信息化,73,0,0.0,215,3,0.013953,当月未出现,0,,2026-08-06T03:30:35+00:00
2025-10,政府信息化建设与管理岗,密码技术,网络与安全,73,0,0.0,215,4,0.018605,当月未出现,0,,2026-08-06T03:30:35+00:00
2025-10,政府信息化建设与管理岗,数据科学与大数据技术,数据与统计,73,10,0.136986,215,27,0.125581,当月活跃技能,0,7,2026-08-06T03:30:35+00:00
2025-10,政府信息化建设与管理岗,数据管理,数据与统计,73,0,0.0,215,3,0.013953,当月未出现,0,,2026-08-06T03:30:35+00:00
2025-10,政府信息化建设与管理岗,数据计算及应用,数据与统计,73,0,0.0,215,2,0.009302,当月未出现,0,,2026-08-06T03:30:35+00:00
2025-10,政府信息化建设与管理岗,物联网工程,智能化技术,73,0,0.0,215,7,0.032558,当月未出现,0,,2026-08-06T03:30:35+00:00
2025-10,政府信息化建设与管理岗,电子信息,通信与电子技术,73,62,0.849315,215,157,0.730233,稳定核心技能,1,2,2026-08-06T03:30:35+00:00
2025-10,政府信息化建设与管理岗,电子信息工程,通信与电子技术,73,0,0.0,215,6,0.027907,当月未出现,0,,2026-08-06T03:30:35+00:00
2025-10,政府信息化建设与管理岗,统计分析,数据与统计,73,1,0.013699,215,1,0.004651,当月活跃技能,0,12,2026-08-06T03:30:35+00:00
2025-10,政府信息化建设与管理岗,统计学,数据与统计,73,2,0.027397,215,7,0.032558,当月活跃技能,0,11,2026-08-06T03:30:35+00:00
2025-10,政府信息化建设与管理岗,网络工程,网络与基础设施,73,1,0.013699,215,21,0.097674,当月活跃技能,0,13,2026-08-06T03:30:35+00:00
2025-10,政府信息化建设与管理岗,网络空间安全,网络与安全,73,11,0.150685,215,31,0.144186,当月活跃技能,0,6,2026-08-06T03:30:35+00:00
2025-10,政府信息化建设与管理岗,自动化,智能化技术,73,1,0.013699,215,15,0.069767,当月活跃技能,0,14,2026-08-06T03:30:35+00:00
2025-10,政府信息化建设与管理岗,计算机科学与技术,计算机基础,73,72,0.986301,215,191,0.888372,稳定核心技能,1,1,2026-08-06T03:30:35+00:00
2025-10,政府信息化建设与管理岗,软件工程,软件工程,73,19,0.260274,215,62,0.288372,稳定核心技能,1,4,2026-08-06T03:30:35+00:00
2025-10,政府信息化建设与管理岗,通信工程,通信与电子技术,73,5,0.068493,215,26,0.12093,当月活跃技能,0,9,2026-08-06T03:30:35+00:00
